ITERAÇÃO,NR PONTOS SELECIONADOS,TOTAL PONTOS,LISTA DE PONTOS,RESULTADO
318,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 ,-2.207369
319,11,20,1 2 4 6 7 10 11 14 16 18 20 ,-2.885454
320,3,20,2 3 19 ,0.200000
321,5,20,1 8 13 15 19 ,6.212000
322,5,20,3 11 16 18 19 ,-4.481999
323,10,20,6 7 9 10 11 12 14 15 18 20 ,2.350000
324,2,20,10 16 ,0.130000
325,4,20,3 8 14 20 ,0.890000
326,11,20,2 3 5 6 7 11 12 14 16 18 20 ,4.243638
327,4,20,4 6 11 15 ,-0.435000
328,8,20,1 4 7 8 10 14 16 20 ,-1.570000
329,12,20,2 3 4 5 8 9 12 13 14 15 16 19 ,2.539167
330,17,20,1 2 4 5 6 8 9 10 11 12 13 14 15 16 17 18 19 ,-0.301765
331,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 ,-3.557368
332,5,20,6 9 10 12 19 ,-2.604000
333,19,20,1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.191579
334,13,20,1 2 3 4 6 9 10 11 12 13 15 16 18 ,-2.886154
335,4,20,2 7 10 19 ,-3.975000
336,15,20,1 2 3 5 6 7 8 9 10 12 15 16 17 18 20 ,-3.211333
337,8,20,2 3 4 8 9 11 14 18 ,-0.435000
338,13,20,2 3 4 5 8 9 10 11 14 15 16 17 18 ,-4.991539
339,2,20,11 17 ,1.895000
340,9,20,3 4 6 9 11 12 14 15 20 ,0.740000
341,10,20,1 3 4 6 7 9 13 16 19 20 ,-8.802999
342,6,20,2 6 8 9 19 20 ,-10.773334
343,7,20,2 3 6 12 14 17 19 ,1.715714
344,11,20,3 4 5 8 9 10 14 16 17 18 20 ,-4.353636
345,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
346,9,20,3 6 7 10 12 14 15 17 20 ,-0.614444
347,16,20,1 2 4 5 6 7 8 10 11 12 13 14 15 17 18 20 ,1.445625
348,12,20,2 3 5 8 10 11 13 14 16 18 19 20 ,-3.554999
349,18,20,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 ,-0.762222
350,18,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 20 ,-2.267222
351,10,20,2 8 9 10 11 12 13 14 17 20 ,-3.149000
352,9,20,1 2 4 7 8 11 14 15 18 ,-0.176667
353,14,20,1 2 5 6 7 8 9 10 12 14 15 16 17 18 ,-0.659999
354,12,20,3 5 7 8 10 11 12 13 15 16 17 20 ,0.357500
355,12,20,1 2 4 6 7 8 10 12 13 16 18 20 ,-6.569167
356,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
357,9,20,2 5 6 8 10 11 12 14 16 ,0.564444
358,5,20,3 6 7 11 16 ,-3.170000
359,5,20,4 10 12 14 17 ,-2.150000
360,2,20,1 6 ,-4.080000
361,8,20,1 3 4 6 8 9 14 15 ,-3.587500
362,4,20,13 15 17 19 ,8.767500
363,10,20,1 2 6 9 12 14 16 17 19 20 ,-5.886000
364,12,20,2 4 5 6 7 8 11 13 16 17 19 20 ,0.621667
365,16,20,1 3 4 6 7 9 10 11 12 13 14 16 17 18 19 20 ,-3.263125
366,6,20,1 2 6 11 17 19 ,2.871667
367,19,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 ,-1.481580
368,10,20,3 5 6 7 10 11 12 14 18 19 ,1.088001
369,10,20,2 3 4 6 8 11 12 13 18 19 ,2.164000
370,2,20,9 20 ,-4.895000
371,18,20,1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 ,1.202222
372,20,20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ,-2.375500
373,18,20,1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 18 19 20 ,-2.907778
374,15,20,3 4 5 7 9 10 11 12 13 14 15 16 17 18 20 ,-0.182000
375,16,20,1 2 3 5 6 7 8 9 10 11 13 14 15 16 17 20 ,-3.092501
376,6,20,2 7 8 16 17 18 ,-4.208333
377,10,20,5 8 9 10 11 13 14 15 17 20 ,-0.886000
378,14,20,1 2 3 5 6 8 9 12 13 14 15 16 17 20 ,-0.865000
379,12,20,1 2 5 6 8 9 10 11 12 14 18 20 ,-1.049166
380,4,20,7 8 10 19 ,-3.630000
381,3,20,5 10 18 ,0.333333
382,4,20,2 3 15 17 ,2.202500
